XID,Reg.,State
r8298,PRM/KA/RERA/1251/309/PR/170915/000234,Karnataka
r8572,PRM/KA/RERA/1251/309/PR/190412/002524,Karnataka
r23442,PRM/KA/RERA/1251/310/PR/011022/005290,Karnataka
r24034,PRM/KA/RERA/1251/309/PR/171014/000483,Karnataka
r25134,PRM/KA/RERA/1251/310/PR/171015/000284,Karnataka
r25246,PRM/KA/RERA/1251/446/PR/171208/001196,Karnataka
r82495,PRM/KA/RERA/1251/446/PR/170824/000077,Karnataka
r123813,PRM/KA/RERA/1251/310/PR/170913/000109,Karnataka
r125931,PRM/KA/RERA/1251/308/PR/181210/002210,Karnataka
r217667,PRM/KA/RERA/1251/308/PR/171015/000725,Karnataka
r393857,PRM/KA/RERA/1251/310/PR/220601/004949,Karnataka
r394687,PRM/KA/RERA/1251/310/PR/150622/004987,Karnataka
r395065,PRM/KA/RERA/1251/308/PR/200622/005017,Karnataka
r395174,PRM/KA/RERA/1251/446/PR/200622/005013,Karnataka
r396553,PRM/KA/RERA/1251/310/PR/220722/005099,Karnataka
r301169,PRM/KA/RERA/1251/446/PR/220720/005090,Karnataka
r306863,PRM/KA/RERA/1251/446/PR/060722/005044,Karnataka
r377702,PRM/KA/RERA/1251/308/PR/210122/004648,Karnataka
r396682,PRM/KA/RERA/1251/308/PR/190722/005087,Karnataka
r396805,PRM/KA/RERA/1251/446/PR/081123/006382,Karnataka
r374951,PRM/KA/RERA/1250/303/PR/190822/005171,Karnataka
r25134,PRM/KA/RERA/1251/310/PR/180122/004645,Karnataka
r397792,PRM/KA/RERA/1257/334/PR/240822/005188,Karnataka
r397833,PRM/KA/RERA/1251/310/PR/190722/005086,Karnataka
r397936,PRM/KA/RERA/1251/309/PR/180822/005163,Karnataka
r396682,PRM/KA/RERA/1251/308/PR/220722/005097,Karnataka
r385301,PRM/KA/RERA/1251/308/PR/270922/005269,Karnataka
r306817,PRM/KA/RERA/1254/460/PR/120922/005232,Karnataka
r400756,PRM/KA/RERA/1251/446/PR/091122/005430,Karnataka
r401002,PRM/KA/RERA/1257/334/PR/101122/005436,Karnataka
r401487,PRM/KA/RERA/1251/310/PR/071122/005412,Karnataka
r348973,PRM/KA/RERA/1251/308/PR/181122/005471,Karnataka
r401530,PRM/KA/RERA/1251/310/PR/181122/005481,Karnataka
r402421,PRM/KA/RERA/1251/308/PR/211122/005487,Karnataka
r402428,PRM/KA/RERA/1251/446/PR/161122/005456,Karnataka
r402494,PRM/KA/RERA/1265/347/PR/151222/005525,Karnataka
r402984,PRM/KA/RERA/1251/308/PR/120123/005613,Karnataka
r402990,"TOR/PRM/KA/RERA/1250/301/PR/221116/001916	",Karnataka
r403083,PRM/KA/RERA/1251/446/PR/250123/005667,Karnataka
r403086,PRM/KA/RERA/1251/446/PR/120123/005620,Karnataka
r403481,PRM/KA/RERA/1251/446/PR/030223/005683,Karnataka
r24198,PRM/KA/RERA/1251/446/PR/281222/005565,Karnataka
r57026,PRM/KA/RERA/1250/304/PR/091122/005424,Karnataka
r403885,PRM/KA/RERA/1251/310/PR/191222/005541,Karnataka
r405318, PRM/KA/RERA/1251/446/PR/290423/005906,Karnataka
r378411,PRM/KA/RERA/1251/446/PR/300323/005832,Karnataka
r407935,PRM/KA/RERA/1251/308/PR/090523/005925,Karnataka
r268715,PRM/KA/RERA/1251/446/PR/180119/000936,Karnataka
r8352,PRM/KA/RERA/1251/309/PR/170916/000146,Karnataka
r12860,PRM/KA/RERA/1251/310/PR/171014/000372,Karnataka
r23834,PRM/KA/RERA/1251/310/PR/170824/000032,Karnataka
r25172,PRM/KA/RERA/1251/446/PR/171015/000598,Karnataka
r27604,PRM/KA/RERA/1251/446/PR/171010/000003,Karnataka
r58876,PRM/KA/RERA/1251/309/PR/180120/001878,Karnataka
r78417,PRM/KA/RERA/1251/446/PR/171014/000279,Karnataka
r79340,PRM/KA/RERA/1251/446/PR/171015/000784,Karnataka
r249607,PRM/KA/RERA/1251/309/PR/171014/000245,Karnataka
r262930,PRM/KA/RERA/1251/446/PR/171026/000405,Karnataka
r263821,PRM/KA/RERA/1251/309/PR/171026/000415,Karnataka
r273489,PRM/KA/RERA/1250/303/PR/181122/002158,Karnataka
r275023,PRM/KA/RERA/1251/446/PR/171015/000854,Karnataka
r9804,PRM/KA/RERA/1251/310/PR/171015/000424,Karnataka
r9804,PRM/KA/RERA/1251/310/PR/181204/002194,Karnataka
r9704,PRM/KA/RERA/1251/310/PR/171208/000986,Karnataka
r64151,PRM/KA/RERA/1251/310/PR/170920/000621,Karnataka
r72725,PRM/KA/RERA/1251/310/PR/170920/000501,Karnataka
r189693,PRM/KA/RERA/1251/310/PR/171014/000364,Karnataka
r260370,PRM/KA/RERA/1251/446/PR/171030/000980,Karnataka
r270895,PRM/KA/RERA/1250/304/PR/171024/000764,Karnataka
r272013,PRM/KA/RERA/1251/446/PR/180504/001595,Karnataka
r272201,PRM/KA/RERA/1251/309/PR/170921/000747,Karnataka
r278361,PRM/KA/RERA/1251/446/PR/170819/000006,Karnataka
r1038,PRM/KA/RERA/1251/446/PR/171014/000345,Karnataka
r1337,PRM/KA/RERA/1251/309/PR/171015/000628,Karnataka
r8598,PRM/KA/RERA/1251/446/PR/171019/000614,Karnataka
r12358,PRM/KA/RERA/1251/446/PR/171014/001085,Karnataka
r24044,PRM/KA/RERA/1251/309/PR/171014/000283,Karnataka
