state,unmatched_registration_number
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA09547/251221
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA09838/210222
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA10154/050522
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA10292/080622
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA10292/A1R/050423
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA10581/240822
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA10653/120922
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA10656/130922
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA10685/230922
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA10879/111122
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA11115/311222
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA11836/230523
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA11845/240523
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA11846/240523
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA11871/300523
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA12006/230623
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA12257/010923
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA12513/211023
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA12526/251023
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AhmedabadMunicipalCorporation/MAA00922/A1M/EX1/120824/090626
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AhmedabadMunicipalCorporation/MAA13102/070324/310327
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AhmedabadMunicipalCorporation/MAA13346/180424/310329
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AhmedabadMunicipalCorporation/MAA13395/250424/311228
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AhmedabadMunicipalCorporation/MAA13749/290624/311228
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AhmedabadMunicipalCorporation/MAA13781/010724/310327
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AhmedabadMunicipalCorporation/MN23AA09923/110522
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AhmedabadMunicipalCorporation/RAA12922/120224/311228
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AhmedabadMunicipalCorporation/RAA13505/140524/311228
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AhmedabadMunicipalCorporation/RAA13592/310524/311228
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AhmedabadMunicipalCorporation/RN326AA10226/200323
