Updated Projectid,Registration Number,Builder Name,Project Category,Project Name,State,District,Project Registration Date,Declared Date Of Completion,Tehsil,Total area in round figure (Sq.mt.),Latitude,Longtitude,Architect Name
#N/A,UPRERAPRJ770757/02/2024,PURVANCHAL PROJECTS PRIVATE LIMITED,Commercial,PURVANCHAL SKYLINE VISTA,Uttar Pradesh,Gautam Buddha Nagar,24-02-2024,20-10-2028,Gautam Buddha Nagar,10031,28.5511,77.3272,ARUN PATWAL 
R329835,UPRERAPRJ735034,SCC BUILDERS PVT. LTD.,Residential,SCC BLOSSOM (PMAY) PH-1 BLOCK X,Uttar Pradesh,Ghaziabad,16-04-2019,30-05-2021,Ghaziabad,3522,28.705489,77.436161,ANUJ AGARWAL ARCHITECTS
R978,UPRERAPRJ8319,SUPERTECH LIMITED,Residential,SUPERTECH ECO VILLAGE-3 PHASE-3,Uttar Pradesh,Gautam Buddha Nagar,8/8/2017,31-05-2021,Gautam Buddha Nagar,6940,28.605245,77.453561,
#N/A,UPRERAPRJ4897,GAURSONS HI-TECH INFRASTRUCTURE PRIVATE LIMITED,Residential,GAUR MULBERRY MANSIONS - FH-03,Uttar Pradesh,Gautam Buddha Nagar,31-07-2017,31-10-2022,Gautam Buddha Nagar,566103,28.55659387,77.43467499,Ateesh Agarwal
#N/A,UPRERAPRJ3386,STRATEGIC DEVELOPERS PRIVATE LIMITED,Residential,ROYAL COURT,Uttar Pradesh,Gautam Buddha Nagar,1/8/2017,31-03-2019,Dadri,12000,28.36.30,77.27.32,GIAN P. MATHUR & ASSOCIATES PVT LTD
#N/A,UPRERAPRJ4124,LOGIX INFRA DEVELOPERS PVT.LTD.,Residential,"NEOWORLD ( PHASE-1 TOWER-D, E &F)",Uttar Pradesh,Gautam Buddha Nagar,31-07-2017,31-12-2020,Gautam Buddha Nagar,10990,77.4874,28.4227,
R28166,UPRERAPRJ6920,SAVFAB DEVELOPERS PRIVATE LIMITED,Residential,JASMINE GROVE,Uttar Pradesh,Ghaziabad,31-07-2017,31-12-2020,Ghaziabad,29430,28.6697,77.4864,Space DesignersInternational
R7380,UPRERAPRJ5633,LANDCRAFT DEVELOPERS PRIVATE LIMITED,Residential,GOLF LINKS PHASE 2,Uttar Pradesh,Ghaziabad,30-07-2017,31-03-2020,Ghaziabad,30303,28.659972,77.473167,Vishal Mittal
#N/A,UPRERAPRJ3444,WAVE ONE PRIVATE LIMITED,Commercial,WOPL-WONE,Uttar Pradesh,Gautam Buddha Nagar,28-07-2017,30-06-2020,Gautam Buddha Nagar,14324,28.570799,77.323533,Nostri Architects
#N/A,UPRERAPRJ10748,MEHANDIPUR BALAJI DWELLING PRIVATE LIMITED,Residential,ANUPAM DAFFODILS,Uttar Pradesh,Agra,15-08-2017,31-12-2018,Agra,4610,27'14'04.42'N,77'59'59'E,AMIT AGARWAL
R49332,UPRERAPRJ7476,HIGH END INFRATECH PRIVATE LIMITED,Residential,"WINDSOR PARADISE-II (BLOCK NO:B,C,H & SCHOOL)",Uttar Pradesh,Ghaziabad,31-07-2017,14-07-2022,Ghaziabad,8207,28 42' 28.36' N,77 25'28.83' E,ANUJ AGARWAL
R2738,UPRERAPRJ3790,UPPAL CHADHA HI-TECH DEVELOPERS PVT. LTD.,Residential,UCHDPL-SECTOR-5-WAVE FLOORS,Uttar Pradesh,Ghaziabad,28-07-2017,31-10-2019,Ghaziabad,3179,28.65539,77.51038,Niraj Kumar Nanda
