XID,Configuration,List Item,Price,Area
R403762,Plot,1451 SQ.FT,Price on Request,Plot Area: 1451 sq.ft
R403762,Plot,1500 SQ.FT,Price on Request,Plot Area: 1500 sq.ft
R403762,Plot,1505 SQ.FT,Price on Request,Plot Area: 1505 sq.ft
R403762,Plot,1549 SQ.FT,Price on Request,Plot Area: 1549 sq.ft
R403762,Plot,2461 SQ.FT,Price on Request,Plot Area: 2461 sq.ft
R403017,"Plot
20.06 L - 2.28 Cr",352 SQ.FT,₹ 20.06 L,Plot Area: 352 sq.ft
R403017,"Plot
20.06 L - 2.28 Cr",353 SQ.FT,₹ 20.12 L,Plot Area: 353 sq.ft
R403017,"Plot
20.06 L - 2.28 Cr",387 SQ.FT,₹ 22.06 L,Plot Area: 387 sq.ft
R403017,"Plot
20.06 L - 2.28 Cr",400 SQ.FT,₹ 22.8 L,Plot Area: 400 sq.ft
R403017,"Plot
20.06 L - 2.28 Cr",462 SQ.FT,₹ 26.33 L,Plot Area: 462 sq.ft
R403017,"Plot
20.06 L - 2.28 Cr",500 SQ.FT,₹ 28.5 L,Plot Area: 500 sq.ft
R403017,"Plot
20.06 L - 2.28 Cr",526 SQ.FT,₹ 29.98 L,Plot Area: 526 sq.ft
R403017,"Plot
20.06 L - 2.28 Cr",600 SQ.FT,₹ 34.2 L,Plot Area: 600 sq.ft
R403017,"Plot
20.06 L - 2.28 Cr",1030 SQ.FT,₹ 58.71 L,Plot Area: 1030 sq.ft
R403017,"Plot
20.06 L - 2.28 Cr",1175 SQ.FT,₹ 66.97 L,Plot Area: 1175 sq.ft
R403017,"Plot
20.06 L - 2.28 Cr",1211 SQ.FT,₹ 69.03 L,Plot Area: 1211 sq.ft
R403017,"Plot
20.06 L - 2.28 Cr",1380 SQ.FT,₹ 78.66 L,Plot Area: 1380 sq.ft
R403017,"Plot
20.06 L - 2.28 Cr",1400 SQ.FT,₹ 79.8 L,Plot Area: 1400 sq.ft
R403017,"Plot
20.06 L - 2.28 Cr",1453 SQ.FT,₹ 82.82 L,Plot Area: 1453 sq.ft
R403017,"Plot
20.06 L - 2.28 Cr",1462 SQ.FT,₹ 83.33 L,Plot Area: 1462 sq.ft
R403017,"Plot
20.06 L - 2.28 Cr",1500 SQ.FT,₹ 85.5 L,Plot Area: 1500 sq.ft
R403017,"Plot
20.06 L - 2.28 Cr",1506 SQ.FT,₹ 85.84 L,Plot Area: 1506 sq.ft
R403017,"Plot
20.06 L - 2.28 Cr",1649 SQ.FT,₹ 93.99 L,Plot Area: 1649 sq.ft
R403017,"Plot
20.06 L - 2.28 Cr",1800 SQ.FT,₹ 1.03 Cr,Plot Area: 1800 sq.ft
R403017,"Plot
20.06 L - 2.28 Cr",1903 SQ.FT,₹ 1.08 Cr,Plot Area: 1903 sq.ft
R403017,"Plot
20.06 L - 2.28 Cr",2000 SQ.FT,₹ 1.14 Cr,Plot Area: 2000 sq.ft
R403017,"Plot
20.06 L - 2.28 Cr",2112 SQ.FT,₹ 1.2 Cr,Plot Area: 2112 sq.ft
R403017,"Plot
20.06 L - 2.28 Cr",2400 SQ.FT,₹ 1.37 Cr,Plot Area: 2400 sq.ft
R403017,"Plot
20.06 L - 2.28 Cr",2553 SQ.FT,₹ 1.46 Cr,Plot Area: 2553 sq.ft
R403017,"Plot
20.06 L - 2.28 Cr",3186 SQ.FT,₹ 1.82 Cr,Plot Area: 3186 sq.ft
R403017,"Plot
20.06 L - 2.28 Cr",3533 SQ.FT,₹ 2.01 Cr,Plot Area: 3533 sq.ft
R403017,"Plot
20.06 L - 2.28 Cr",4000 SQ.FT,₹ 2.28 Cr,Plot Area: 4000 sq.ft
R379971,"3 BHK Apartment
1.77 Cr - 2.47 Cr",1361 SQ.FT,₹ 1.77 Cr,Carpet Area: 904 sq.ft
R379971,"3 BHK Apartment
1.77 Cr - 2.47 Cr",1536 SQ.FT,₹ 2.0 Cr,Carpet Area: 1029 sq.ft
R379971,"3 BHK Apartment
1.77 Cr - 2.47 Cr",1599 SQ.FT,₹ 2.08 Cr,Carpet Area: 1077 sq.ft
R379971,"3 BHK Apartment
1.77 Cr - 2.47 Cr",1620 SQ.FT,₹ 2.11 Cr,Super Builtup Area: 1620 sq.ft
R379971,"3 BHK Apartment
1.77 Cr - 2.47 Cr",1657 SQ.FT,₹ 2.16 Cr,Carpet Area: 1112 sq.ft
R379971,"3 BHK Apartment
1.77 Cr - 2.47 Cr",1898 SQ.FT,₹ 2.47 Cr,Carpet Area: 1252 sq.ft
R379971,"4 BHK Apartment
2.87 Cr - 2.98 Cr",2204 SQ.FT,₹ 2.87 Cr,Super Builtup Area: 2204 sq.ft
R379971,"4 BHK Apartment
2.87 Cr - 2.98 Cr",2290 SQ.FT,₹ 2.98 Cr,Super Builtup Area: 2290 sq.ft
R342019,"Plot
50.01 L - 62.51 L",1200 SQ.FT,₹ 50.01 L,Plot Area: 1200 sq.ft
R342019,"Plot
50.01 L - 62.51 L",1500 SQ.FT,₹ 62.51 L,Plot Area: 1500 sq.ft
R313801,"Plot
11.97 L - 31.77 L",1197 SQ.FT,₹ 11.97 L,Plot Area: 1197 sq.ft
R313801,"Plot
11.97 L - 31.77 L",1224 SQ.FT,₹ 12.24 L,Plot Area: 1224 sq.ft
R313801,"Plot
11.97 L - 31.77 L",1287 SQ.FT,₹ 12.87 L,Plot Area: 1287 sq.ft
R313801,"Plot
11.97 L - 31.77 L",1593 SQ.FT,₹ 15.93 L,Plot Area: 1593 sq.ft
R313801,"Plot
11.97 L - 31.77 L",1638 SQ.FT,₹ 16.38 L,Plot Area: 1638 sq.ft
