Registration Number,Sr.No.,Apartment Type,Carpet Area,Area of exclusive veranda,Area of exclusive balcony,Area of exclusive open terrace,Share of common area,Area of external wall,Total area,Proposed number of apartments,Number of apartments Booked /Sold /Allotted
K-RERA/PRJ/90/2020,1,3BHK,124.54,0,12.80,4.60,38,0,188,1,0,NA
K-RERA/PRJ/90/2020,2,2BHK,86.05,0,10,0,28,0,133,23,23,NA
K-RERA/PRJ/90/2020,3,3BHK,120.41,0,32.80,0,44,0,211,10,10,NA
K-RERA/PRJ/90/2020,4,3BHK,120.41,0,32.80,5.70,42,0,214,1,1,NA
K-RERA/PRJ/90/2020,5,3BHK,121.05,0,16,0,39,0,190,10,6,NA
K-RERA/PRJ/90/2020,6,3BHK,140,0,15,0,42,0,206,23,12,NA
K-RERA/PRJ/90/2020,7,3BHK,144.46,0,15,0,43,0,215,23,12,NA
K-RERA/PRJ/90/2020,8,3BHK,124.81,0,9.30,0,37,0,181,11,8,NA
K-RERA/PRJ/90/2020,9,3BHK,124.54,0,12.80,0,37,0,185,11,7,NA
K-RERA/PRJ/90/2020,10,4BHK,157.04,0,17.80,0,50,0,236,12,4,NA
K-RERA/PRJ/90/2020,11,3BHK,121.05,0,16,23.90,32,0,205,1,0,NA
K-RERA/PRJ/90/2020,12,2BHK,77.82,0,10.30,0,24,0,121,66,23,NA
K-RERA/PRJ/90/2020,13,2BHK,81.12,0,8.10,0,25,0,125,12,4,NA
K-RERA/PRJ/90/2020,14,2BHK,77.82,0,10.30,9.10,19,0,126,6,0,NA
K-RERA/PRJ/90/2020,15,3BHK,124.81,0,9.30,4.60,35,0,184,1,0,NA
K-RERA/PRJ/345/2020,1,2BHK,47.45,0,3.60,0,15.68,6.04,72.77,12,12,10
K-RERA/PRJ/345/2020,2,3BHK,64.19,0,5.21,0,22.25,7.32,98.97,12,11,10
K-RERA/PRJ/345/2020,3,2BHK,48.50,0,3.02,0,15.85,5.86,73.23,12,12,10
K-RERA/PRJ/345/2020,4,2BHK,48.44,0,4.33,0,13.76,5.96,72.49,12,12,10
K-RERA/PRJ/345/2020,5,2BHK,47.32,0,3.71,0,16.34,5.40,72.77,12,12,10
K-RERA/PRJ/345/2020,6,2BHK,51.30,0,4.78,0,17.44,6.41,79.93,12,12,10
K-RERA/PRJ/315/2020,1,3BHK,102.10,0,4.47,0,31.43,10.93,148.93,72,72,NA
K-RERA/PRJ/315/2020,2,3BHK,127.28,0,8.39,0,39.53,0,187.31,34,34,NA
K-RERA/PRJ/315/2020,3,2BHK,101.36,0,7.74,0,32.24,11.42,152.76,4,0,NA
K-RERA/PRJ/315/2020,4,3BHK,102.10,0,4.47,2.04,31.43,0,150.98,4,4,NA
K-RERA/PRJ/253/2020,1,4BHK,5683,0,222.21,0,1772.90,0,7678.20,27,27,27
K-RERA/PRJ/253/2020,2,3BHK,9225,0,435.78,0,2866,0,12526,54,54,27
K-RERA/PRJ/252/2020,1,4BHK,25597,0,1269.70,0,7188.40,0,34055,112,112,112
K-RERA/PRJ/251/2020,1,4BHK,26897,0,1704.50,0,7405.40,0,36007,112,112,112
K-RERA/PRJ/243/2020,1,2BHK,813,0,45.50,0,192,0,1111,8,0,0
K-RERA/PRJ/243/2020,2,3BHK,1043,0,82,0,224,0,1419,8,8,0
K-RERA/PRJ/243/2020,3,2BHK,765,0,82,190.98,166,0,1076,1,0,0
K-RERA/PRJ/243/2020,4,2BHK,767,0,54,186.42,169,0,1060,1,0,0
K-RERA/PRJ/243/2020,5,2BHK,767,0,54,0,169,0,1060,8,0,0
K-RERA/PRJ/243/2020,6,3BHK,1043,0,82,175.47,224,0,1419,1,0,0
K-RERA/PRJ/243/2020,7,2BHK,765,0,82,0,166,0,1076,8,2,0
K-RERA/PRJ/243/2020,8,2BHK,755.50,0,51.50,0,184,0,1063,9,0,0
K-RERA/PRJ/243/2020,9,2BHK,813,0,45.50,519.25,192,0,1111,1,0,0
K-RERA/PRJ/243/2020,10,2BHK,788,0,35,0,189,0,1075,8,1,0
K-RERA/PRJ/243/2020,11,2BHK,788,0,35,142.68,189,0,1075,1,0,0
K-RERA/PRJ/235/2020,1,3BHK,153.02,0,12.57,0,39.46,13.24,218.29,24,22,6
K-RERA/PRJ/235/2020,2,3BHK,177.84,0,13.22,0,44.05,15.07,250.18,1,0,6
K-RERA/PRJ/235/2020,3,4BHK,207.91,0,14.90,0,50.33,15.29,288.43,23,18,6
K-RERA/PRJ/235/2020,4,3BHK,122.04,0,7.79,0,30.35,0,171.93,24,16,6
K-RERA/PRJ/235/2020,5,3BHK,125.57,0,12.47,0,31.14,13.37,182.55,24,7,6
K-RERA/PRJ/138/2020,1,3BHK,96.72,0,9.39,0,32.66,7.23,146,11,3,0
K-RERA/PRJ/138/2020,2,2BHK,64.30,0,7.89,0,24,5.95,102.14,12,9,0
K-RERA/PRJ/138/2020,3,3BHK,94.83,0,9.39,0,32.22,7.14,143.58,11,4,0
K-RERA/PRJ/138/2020,4,2BHK,63.55,0,8.76,0,23.94,6.55,102.80,12,12,0
K-RERA/PRJ/138/2020,5,3BHK,94.26,0,9.39,0,30.91,6.72,141.28,1,1,0
K-RERA/PRJ/138/2020,6,3BHK,95.92,0,9.39,0,32.57,6.82,144.70,1,0,0
K-RERA/PRJ/138/2020,7,3BHK,97.48,0,7.28,0,34.49,7.53,146.78,12,8,0
K-RERA/PRJ/138/2020,8,2BHK,64.96,0,7.54,0,21.86,6.94,101.30,12,6,0
K-RERA/PRJ/138/2020,1,3BHK,96.72,0,9.39,0,32.66,7.23,146,11,3,0
K-RERA/PRJ/138/2020,2,2BHK,64.30,0,7.89,0,24,5.95,102.14,12,9,0
K-RERA/PRJ/138/2020,3,3BHK,94.83,0,9.39,0,32.22,7.14,143.58,11,4,0
K-RERA/PRJ/138/2020,4,2BHK,63.55,0,8.76,0,23.94,6.55,102.80,12,12,0
K-RERA/PRJ/138/2020,5,3BHK,94.26,0,9.39,0,30.91,6.72,141.28,1,1,0
K-RERA/PRJ/138/2020,6,3BHK,95.92,0,9.39,0,32.57,6.82,144.70,1,0,0
K-RERA/PRJ/138/2020,7,3BHK,97.48,0,7.28,0,34.49,7.53,146.78,12,8,0
K-RERA/PRJ/138/2020,8,2BHK,64.96,0,7.54,0,21.86,6.94,101.30,12,6,0
K-RERA/PRJ/096/2021,1,3BHK,79.07,0,7.68,44.23,21.45,9.12,161.55,1,0,NA
K-RERA/PRJ/096/2021,2,2BHK,68.76,0,3.78,99.28,18.23,7.97,198.02,1,0,NA
K-RERA/PRJ/096/2021,3,3BHK,95.08,0,11.34,157.57,25.86,8.72,298.57,1,0,NA
K-RERA/PRJ/096/2021,4,3BHK,99,0,12.07,0,27.54,9.68,148.29,11,10,NA
