XID,Reg.,State
r427390,TN/1/BUILDING/0362/2024,Tamil Nadu
r428162,TN/35/Layout/1763/2024,Tamil Nadu
r427112,TN/35/Building/0369/2024,Tamil Nadu
r428434,TN/1/Layout/2031/2024,Tamil Nadu
r428444,TN/35/Layout/1420/2024,Tamil Nadu
r428647,TN/11/Layout/2038/2024,Tamil Nadu
r428649,TN/11/Building/0353/2024,Tamil Nadu
r428762,TN/02/Layout/3071/2023,Tamil Nadu
r429179,TN/29/Building/0392/2024,Tamil Nadu
r429275,TN/1/Building/0398/2024,Tamil Nadu
r429276,TN/1/Building/0404/2024,Tamil Nadu
r429329,TN/2/Layout/2456/2024,Tamil Nadu
r429358,TN/29/Building/0396/2024,Tamil Nadu
r429386,TN/35/Building/0386/2024,Tamil Nadu
r429469,TN/02/Layout/0213/2020,Tamil Nadu
r429474,TN/2/Layout/3688/2024,Tamil Nadu
r430181,TN/11/Layout/2508/2024,Tamil Nadu
r430204,TN/29/Building/0419/2024,Tamil Nadu
r430977,TN/35/BUILDING/0383/2024,Tamil Nadu
r432237,TN/29/Building/0451/2024,Tamil Nadu
r432250,TN/35/Layout/3076/2024,Tamil Nadu
r1285,TN/01/Layout/2685/2023,Tamil Nadu
r432455,TN/35/Building/0461/2024,Tamil Nadu
r374687,TN/02/Building/0086/2023 dated 20/02/2023,Tamil Nadu
r432520,TN/35/Layout/3363/2024,Tamil Nadu
r432988,TN/2/Layout/3632/2024,Tamil Nadu
r433566,TN/29/Layout/2755/2024,Tamil Nadu
r433759,TN/2/BUILDING/0410/2024,Tamil Nadu
r433762,TN/29/Layout/2159/2024,Tamil Nadu
r433771,TN/20/Layout/3588/2024,Tamil Nadu
r433830,TN/11/Building/0489/2024,Tamil Nadu
r433864,TN/1/Layout/3639/2024,Tamil Nadu
r434363,TN/11/Building/0495/2024,Tamil Nadu
r426144,TN/11/Layout/3659/2024,Tamil Nadu
r434528,TN/29/Building/0102/2023,Tamil Nadu
r437016,TN/16/Building/0303/2024,Tamil Nadu
r437226,TN/35/Layout/1200/2025,Tamil Nadu
r351351,TN/01/Building/0043/2020 ,Tamil Nadu
r311223, TN/11/Layout/1700/2023,Tamil Nadu
