XID,Project Name,City,Housiing.com Link
R325141,My Home Mangala,Hyderabad,https://housing.com/in/buy/projects/page/134406-my-home-mangala-by-my-home-constructions-pvt-ltd-in-serilingampally
R12074,DLF Regency Park 2,Gurgaon,https://housing.com/in/buy/dlf-regency-park-ii-for-resale-in-dlf-phase-4-gurgaon-AG1lacAH0
R2120,Gini Viviana,Pune West,https://housing.com/in/buy/projects/page/52301-gini-viviana-f-bldg-phase-2-by-gini-citicorp-realty-llp-in-balewadi
R8298,Sobha Indraprastha,Bangalore West,https://housing.com/in/buy/projects/page/40167-sobha-indraprastha-by-sobha-limited-in-binnipete
R268339,DLF City Plots Phase 4,Gurgaon,https://housing.com/in/buy/gurgaon/plot-dlf_phase_iv
R26570,New Arohi Apartment,Delhi South West,https://housing.com/in/buy/projects/page/149784-new-arohi-apartments-by-reputed-builder-in-sector-12-dwarka
R28540,Ashiana Town,Bhiwadi,https://www.ashianahousing.com/kid-centric-homes/bhiwadi-delhi-ncr/ashiana-town-alwar-bypass-sector-39
R13492,Mahindra Lifespaces Splendour,Central Mumbai,https://housing.com/in/buy/projects/page/88727-mahindra-splendour-by-mahindra-lifespaces-in-bhandup-west
R242735,Supreme Krishiv Kripa,Navi Mumbai,https://housing.com/rent-paradise-sai-miracle-for-rent-in-kharghar-navi-mumbai-rpid-AGnsAH0
R27418,IIPA Apartment,Delhi South West,https://housing.com/in/buy/projects/page/151235-cghs-prakriti-apartments-by-cghs-group-in-sector-6-dwarka
R60623,GLS Arawali Homes,Gurgaon,https://housing.com/in/buy/gls-arawali-homes-for-resale-in-sector-4-sohna-gurgaon-AGpezAH0
R6774,Prestige Mayberry,Bangalore East,https://housing.com/in/buy/projects/page/144401-adarsh-palm-retreat-mayberry-phase-1-by-adarsh-developers-in-bellandur
R26,Raheja Vedaanta,Gurgaon,https://housing.com/rent-raheja-vedaanta-for-rent-in-sector-108-gurgaon-rpid-AGnp3AH0
R103494,Gaur City 5th Avenue,Greater Noida,https://housing.com/in/buy/projects/page/218370-gaursons-india-gaur-city-5th-avenue-by-gaursons-india-ltd-in-noida-extension
R261562,Dynamic Crest,Navi Mumbai,https://housing.com/in/buy/projects/page/51669-dynamic-crest-phase-i-rimo-everest-by-dynamic-group-in-khidkali
R248397,Alica Nagar CHS,Western Mumbai,https://housing.com/in/buy/projects/page/78516-lokhandwala-alica-nagar-by-lokhandwala-construction-in-kandivali-east
R32394,Gami Koregaon,Pune East,https://housing.com/in/buy/projects/page/13279-mantra-majestique-nakshatra-by-majestique-landmarks-in-koregaon-bhima
R270585,ROF Ananda,Gurgaon,https://housing.com/in/buy/rof-ananda-for-resale-in-sector-95-gurgaon-AGw10AH0
R49382,Gala Swing,Ahmedabad West,https://housing.com/buy-gala-swing-by-gala-group-in-south-bopal-ahmedabad-pid-108854
R435530,SRG Marbella Grand,Mohali,https://housing.com/in/buy/projects/page/200507-srg-marbella-grand-by-srg-group-in-sector-82
R404,Aparna Sarovar,Hyderabad,https://housing.com/in/buy/projects/page/48342-aparna-sarovar-by-aparna-in-gopanapalli
R65558,Abhiyan Apartments,Delhi South West,https://housing.com/pocket-6-sector-12-dwarka-new-delhi-overview-P6k636y0h5n8eysq7
R86913,Nahar Tulipia And Tilia Apartment,Central Mumbai,https://housing.com/in/buy/projects/page/75459-nahar-tulipia-and-tilia-apartment-by-nahar-group-in-powai
R35142,JM Orchid,Noida,https://housing.com/in/buy/jm-orchid-for-resale-in-sector-76-noida-AG13cAH0
R59350,Mont Vert Avion,Pune West,https://housing.com/in/buy/projects/page/1503-mont-vert-avion-by-mont-vert-estates-in-pashan
R272357,Godrej 24,Pune West,https://housing.com/in/buy/projects/page/48499-godrej-24-by-godrej-properties-ltd-in-hinjawadi
R371492,Vailankannis Heights,Mangalore,https://housing.com/in/buy/projects/page/10454-vailankannis-heights-by-vishal-enterprises-in-bondel
R82265,Yashraj Sai Simran,Navi Mumbai,https://housing.com/in/buy/projects/page/10511-yashraj-sai-simran-by-yashraj-group-in-karanjade
R496,Magarpatta City Trillium,Pune East,https://housing.com/in/buy/resale/page/16365805-2-bhk-apartment-in-magarpatta-city-for-rs-14000000
R32982,Runwal The Reserve,Mumbai South,https://housing.com/in/buy/projects/page/38357-runwal-reserve-by-runwal-in-worli
R2234,Ajnara Homes,Greater Noida,https://housing.com/in/buy/ajnara-homes-for-resale-in-sector-16b-greater-noida-west-greater-noida-AG19zAH0
R205785,Kohinoor Presidentia,Pune East,https://housing.com/price-trends/property-rates-for-buy-in-bt_kawade_road_pune-P67i5z8b3rkeerkmx
R33054,Mohan Highlands,Thane Outskirts,https://housing.com/in/buy/projects/page/11857-mohan-highlands-by-mohan-group-in-badlapur-east
R19880,Lokhandwala Spring Leaf,Western Mumbai,https://housing.com/in/buy/projects/page/42002-lokhandwala-spring-leaf-by-lokhandwala-construction-in-kandivali-east
R12790,Shivani Apartments,Delhi South West,https://housing.com/in/buy/projects/page/94140-shivani-apartment-by-reputed-builder-in-sector-12-dwarka
R13566,Hiranandani Evita,Central Mumbai,https://housing.com/in/buy/hiranandani-developers-evita-for-resale-in-powai-mumbai-AG47qnAH0
R127477,Joy Legend,Western Mumbai,https://housing.com/in/buy/projects/page/104615-joy-legend-wing-b-by-joy-builders-developers-in-khar-west
R117,DLF New Town Heights,Kolkata East,https://housing.com/buy-4000-sqft-4-bhk-apartment-in-new-town-for-rs-32000000-rid-13922524
R430459,Seasons,Beyond Mira Road,https://housing.com/in/buy/projects/page/324347-shiv-samarth-seasons-by-shiv-samarth-enterprises-in-naigaon-east
R270755,Runal Gateway,Pune West,https://housing.com/in/buy/projects/page/133456-runal-gateway-phase-ii-by-runal-developer-in-ravet
R61899,MVN Athens,Gurgaon,https://housing.com/in/buy/projects/page/11046-mvn-athens-by-mvn-infrastructures-in-sector-5-sohna
R292765,Vimal Classic,Beyond Mira Road,https://housing.com/in/buy/projects/page/96110-vimal-classic-by-vimal-developers-in-nalasopara-west
R146579,Sunny Enclave,Mohali,https://housing.com/in/buy/sahibzada_ajit_singh_nagar/house-sunny_enclave_kharar
R1012,Vipul Lavanya,Gurgaon,https://housing.com/in/buy/projects/page/282207-vipul-lavanya-apartments-tower-2-and-3-by-vipul-ltd-in-sector-81
R28284,CGHS New Rajput,Delhi South West,https://housing.com/in/buy/projects/page/151267-cghs-guru-apartments-by-cghs-group-in-sector-6-dwarka
R177815,E Block RWA Greater Kailash 1,South Delhi,https://housing.com/in/buy/projects/page/73911-swaraj-homes-e-block-rwa-greater-kailash-1-by-swaraj-homes-builders-developer-in-greater-kailash-i
R28980,Amrapali Village,Ghaziabad,https://housing.com/in/buy/projects/page/34652-amrapali-village-by-amrapali-group-in-indirapuram
R412877,Kiera Ryhan Heights,South Delhi,https://housing.com/in/buy/projects/page/253621-kiera-ryhan-heights-by-kiera-homes-in-vasant-kunj
R9364,Evershine Cosmic,Western Mumbai,https://housing.com/in/buy/projects/page/41974-evershine-cosmic-by-evershine-developers-in-andheri-west
R411,Ramky Towers,Hyderabad,https://housing.com/in/buy/projects/page/131897-ramky-towers-by-ramky-estates-farms-ltd-in-gachibowli
R26524,Hind Apartments,Delhi South West,https://housing.com/in/buy/projects/page/132107-hind-apartment-by-reputed-builder-in-sector-5-dwarka
R307881,Trump Tower Kolkata,Kolkata South,https://housing.com/buy-tribeca-trump-tower-by-tribeca-creators-llp-in-topsia-kolkata-pid-52651
R206737,Aparna Elixir,Hyderabad,https://housing.com/in/buy/projects/page/7151-aparna-elixir-by-aparna-constructions-and-estates-pvt-ltd-in-narsingi
R29118,Harsukh Apartments,Delhi South West,https://housing.com/in/buy/projects/page/151401-cghs-harsukh-apartments-by-cghs-group-in-sector-7-dwarka
R62223,Kumar Karishma,Pune Central,https://housing.com/in/buy/kumar-corp-karishma-for-resale-in-kothrud-pune-AG3x5hAH0
R9382,Palm Atlantis,Pune East,https://housing.com/in/buy/projects/page/7373-majestique-palm-atlantis-by-majestique-landmarks-in-wagholi
R986,DLF Commanders Court,Chennai Central,https://housing.com/in/buy/projects/page/33504-dlf-commanders-court-by-dlf-in-egmore
R30910,Pride Purple Five Gardens,Pune North,https://housing.com/in/buy/purple-five-gardens-for-resale-in-rahatani-pune-AG16zcAH0
R274187,Ashar Sapphire And Galleria,Thane,https://housing.com/in/buy/ashar-sapphire-for-resale-in-thane-west-thane-AGz3hAH0
R64350,Green City,Surat,https://housing.com/buy-swaminarayan-green-city-by-satya-sankalp-buildcon-llp-in-pasodara-surat-pid-204151
R27950,CGHS Sadbhawna Apartments,Delhi South West,https://housing.com/in/buy/resale/page/12063708-3-bhk-apartment-in-sector-2-dwarka-for-rs-31000000
R117419,Sairaj Heights,Navi Mumbai,https://housing.com/in/buy/projects/page/95689-sai-sairaj-heights-by-saibaba-sales-pvtltd-in-punawale
R366884,Leela Orchid Greens,Mohali,https://housing.com/in/buy/projects/page/312763-leela-orchid-green-by-leela-residencies-private-limited-in-sector-114
R54070,Atul Westernhills,Pune West,https://housing.com/in/buy/projects/page/19343-atul-westernhills-v1-to-v9-by-atul-enterprises-in-sus
R14974,Tritvam by Tata Realty,Kochi,https://housing.com/in/buy/projects/page/34318-tata-tritvam-by-tata-real-estate-infrastructure-and-development-ltd-in-ayyappankavu
R128907,Arch Starwood,Kolkata East,https://housing.com/buy-arch-starwood-tower-by-arch-group-in-chinar-park-kolkata-pid-328824
R9054,Akshar Altorios,Pune East,https://housing.com/in/buy/resale/page/15224718-1-bhk-apartment-in-hadapsar-for-rs-6400000
R39422,Hiranandani Lightbridge,Thane,Not Found
R373737,Aum Casa Imperia Ews,Pune West,https://housing.com/in/buy/projects/page/253817-aum-sanskruti-casa-imperia-ews-by-aum-sanskruti-housing-in-wakad
R27854,Nirmal Citi Of Joy,Central Mumbai,https://housing.com/in/buy/projects/page/135445-nirmal-city-of-joy-by-reputed-builder-in-mulund-west
