XID,Project Name,City,Housing.com Link
R422086,Deep Indraprasth Ixora,Ahmedabad West,https://housing.com/buy-indraprasth-ixora-by-deep-group-of-companies-in-shela-ahmedabad-pid-315620
r422583,Signature Global De Luxe DXP,Gurgaon,https://housing.com/in/buy/projects/page/315772-signature-global-deluxe-dxp-by-signature-global-builders-pvt-ltd-in-sector-37d
R422622,Evara Wadhwa Wise City,Navi Mumbai,https://housing.com/in/buy/projects/page/302000-wadhwa-wise-city-rz8-by-the-wadhwa-group-in-panvel
R422862,Raymond The Address by GS,Western Mumbai,https://housing.com/in/buy/projects/page/316281-the-address-by-gs-bandra-by-raymond-limited-in-bandra-east
R422989,Melodies of Life,Bangalore South,https://housing.com/in/buy/projects/page/315035-melodies-of-life-by-assetz-property-group-in-halanayakanahalli
R423085,Raheja Solaris 3,Navi Mumbai,https://housing.com/in/buy/projects/page/310517-raheja-solaris-3-by-raheja-universal-in-juinagar
r423388,Puri Diplomatic Residences,Gurgaon,https://housing.com/in/buy/projects/page/317335-puri-diplomatic-residences-by-puri-constructions-pvt-ltd-in-sector-111
r423504,Lodha Magnus,Pune West,https://housing.com/in/buy/projects/page/261828-skyline-magnus-by-skyline-ventures-in-ghatkopar-east
R423533,Krish Skylar,Gandhinagar,https://housing.com/buy-savaliya-krish-skylar-by-savaliya-builders-in-bhaijipura-gandhinagar-gujarat-pid-330786
R423659,Solitaire Vista 2,Ahmedabad North,https://housing.com/buy-solitaire-vista-2-by-anmol-construction-in-gota-ahmedabad-pid-268676
R423704,Birla Niyaara Phase 2,Mumbai South,https://housing.com/in/buy/projects/page/314808-birla-niyaara-phase-2-by-birla-estates-pvt-ltd-in-worli
R424180,Aniruddha Pooja,Navi Mumbai,https://housing.com/in/buy/projects/page/316101-aniruddha-pooja-by-aniruddha-group-in-ulwe
r424359,Kohinoor Uptown Avenue,Pune West,https://housing.com/in/buy/projects/page/317431-uptown-avenue-by-kohinoor-group-in-punawale
R424415,Kappa Signatures,Kolkata East,https://housing.com/buy-kappa-signatures-by-kappa-builders-in-rajarhat-kolkata-pid-307918
R424444,JP Codename Lottery,Thane,https://housing.com/in/buy/projects/page/316189-jp-codename-lottery-by-jp-infra-mumbai-pvt-ltd-in-thane-west
R424462,Lodha Azur,Bangalore South,https://housing.com/in/buy/projects/page/318698-lodha-azur-by-lodha-group-in-hulimavu
R424752,Codename The Exclusives,Pune South,https://housing.com/in/buy/projects/page/316856-codename-the-exclusives-by-unitary-properties-esson-landmarks-in-mohammed-wadi
R425110,Satyamev Royal 4,Ahmedabad North,https://housing.com/buy-satyamev-royal-4-by-satyamev-group-in-chandkheda-ahmedabad-pid-316499
