XID,Project Name,City,Squareyards.com Link
R165831,Vihang Hills,Thane,https://www.squareyards.com/rent/property-for-rent-in-vihang-hills-thane
R305723,VTP Hilife,Pune West,https://www.squareyards.com/pune-residential-property/vtp-hilife/10163/project/floor-plans
R156481,Siddhivinayak Aarambh,Pune East,https://www.squareyards.com/resale-1-bhk-extra-room-765-sq-ft-apartment-in-riu-siddhivinayak-aarambh/7930524
R400715,Prem Nagar Legacy,Central Mumbai,https://www.squareyards.com/mumbai-residential-property/chheda-prem-nagar-legacy/249738/project
R270238,Pebbles Urbania,Pune West,https://www.squareyards.com/pune-residential-property/abhinav-pebbles-urbania/24945/project
R34284,TVH Quadrant,Chennai South,https://www.squareyards.com/ready-to-move-by-tvh-in-chennai
R79370,Lodha Elisium,Mumbai South,https://www.squareyards.com/mumbai-residential-property/lodha-elisium/2802/project
R32708,Omaxe Heights,Lucknow,https://www.squareyards.com/rent/property-for-rent-in-omaxe-heights-gomti-nagar-lucknow
R370792,Golden Castle,Chandigarh,https://www.squareyards.com/rental-3-bhk-pooja-room-1250-sq-ft-apartment-in-crd-golden-castle/7999234
R12564,DDA Shaheed Bhagat Singh Apartment,Delhi South West,https://www.squareyards.com/sale/apartments-for-sale-in-sector-14-dwarka-delhi
R4368,Hiranandani Rodas Enclave,Thane,https://www.squareyards.com/thane-residential-property/hiranandani-rodas-enclave-rosemount/42549/project
R385001,Prestige Marigold,Bangalore North,https://www.squareyards.com/bangalore-residential-property/prestige-marigold/114803/project
R269505,One Indiabulls,Thane,https://www.squareyards.com/thane-residential-property/one-indiabulls-thane/100086/project
R395317,Sun Footprints,Ahmedabad West,https://www.squareyards.com/ahmedabad-residential-property/kavisha-aer/229633/project
R3774,BGA Amrita Abashan 1,Kolkata South,https://www.squareyards.com/kolkata-residential-property/bga-amrita-abashan-iii/9815/project
R136137,Raunak Unnathi Woods Phase 6,Thane,https://www.squareyards.com/sale/resale-properties-in-raunak-unnathi-woods-phase-4-and-5-thane
R158071,Trisara Our Homes 3,Gurgaon,https://www.squareyards.com/sale/resale-properties-in-arete-india-our-homes-3-gurgaon
R22964,Nyati Eternity,Pune South,https://www.squareyards.com/pune-residential-property/nyati-eternity/2059/project
R400573,Eastern Arc Phase 2,Dehradun,https://www.squareyards.com/dehradun-residential-property/sumeru-eastern-arc/9237/project
