XID,Name,Name_Score,Builder,Builder_Score,Address,Address_Score,Possession Status,Possession Status_Score,RERA,RERA_Score
r125349,Modi Golden County Annexe,100,ByModi Builders,93,"99acres: Rampally | Housing: Keesara, Rampally, East Hyderabad, Hyderabad",31,"99acres: UNDER_CONSTRUCTION | Housing: Jun, 2024",22,P02200000551,100
r396698,Mars Planet,100,ByMars Builders,93,"99acres: Hosakerehalli | Housing: Banashankari 3rd Stage, Hosakerahalli, Opposite Tata Promont, South Bangalore, Bangalore",24,"99acres: UNDER_CONSTRUCTION | Housing: Dec, 2028",22,PRM/KA/RERA/1251/310/PR/220722/005096,100
r245177,Shree Sadan 17,100,ByShreekunj Dhara,94,"99acres: Vasna | Housing: Near Swaminarayan Park-4, South Vasna, Central West, Ahmedabad",15,"99acres: UNDER_CONSTRUCTION | Housing: Jun, 2027",22,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA11341/030323,100
r273851,Shantiniketan Vega Block A,82,ByShantiniketan,93,"99acres: Kelambakkam | Housing: Gangaiamman Koil St, Ramalingapuram, Kelambakkam, Chennai south, Chennai",27,"99acres: READY_TO_MOVE | Housing: Dec, 2023",18,TN/01/Building/0012/2017,100
r396197,Auro Infinity,100,99acres: The Auro Group | Housing: ByShreeji Two,30,"99acres: Vadsar | Housing: Auro Infinity Billabong School, Kalali, Vadodara",19,"99acres: UNDER_CONSTRUCTION | Housing: Dec, 2028",22,PR/GJ/VADODARA/VADODARA/Others/MAA10447/140722,100
r427454,SJRS Infracity,100,BySJRS Infracity Private Limited,79,"99acres: Rajatalab | Housing: Near Varanasi International Cricket Stadium, Rajatalab, Varanasi",25,"99acres: UNDER_CONSTRUCTION | Housing: Dec, 2023",22,UPRERAPRJ616042,100
r274711,Renaissance Reserva,100,ByRenaissance Holdings,95,"99acres: Jalahalli | Housing: Survey No 30/1, 42/3A, Yeshwanthpura Hobli, Jalahalli, Outer Ring Road-Yeshwanthpur, Bangalore",17,"99acres: READY_TO_MOVE | Housing: Jul, 2029",9,PRM/KA/RERA/1251/309/PR/190614/002602,100
r400435,CRC Joyous,100,ByCRC Group,90,"Techzone 4, Greater Noida",89,"99acres: UNDER_CONSTRUCTION | Housing: Apr, 2027",15,UPRERAPRJ613747,100
r430268,Raheja Lunaris 1 Callisto,72,ByRaheja Universal,94,"99acres: Juinagar | Housing: Raheja Lunaris, Raheja District, Vashi NX, Navi Mumbai",19,"99acres: NEW_LAUNCH | Housing: Jun, 2027",21,P51700076867,100
r271059,Aastha Nest,100,ByABI infrastructure,95,"Kovai Pudur, Coimbatore",61,"99acres: READY_TO_MOVE | Housing: Dec, 2024",18,TN/11/Layout/8344/2022,100
r354666,Nayak Golden Fields,100,ByNayak Developers,94,"99acres: Devanahalli | Housing: 15 Min Close Drive to International Airport, Devanahalli, North Bangalore, Bangalore",23,"99acres: READY_TO_MOVE | Housing: Dec, 2029",18,PRM/KA/RERA/1250/303/PR/200323/003384,100
r3330,Davda Bellevue Vieraaa,60,99acres: Davda Infrastructure | Housing: ByDavda,37,"99acres: Bavla | Housing: BelleVue Viera, Bavla Nalsarovar Road, Opp. APMC Market Road, Adroda, Bavla, Ahmedabad",11,"99acres: READY_TO_MOVE | Housing: May, 2025",27,Rera Not Applicable,100
r431257,Vamana Arvindam,100,ByVamana Group,58,"99acres: Zirakpur | Housing: PR7, Zirakpur, Patiala Highway, Zirakpur",33,"99acres: UNDER_CONSTRUCTION | Housing: Jun, 2025",22,PBRERA-SAS79-PR1018,100
